Generator,County,Load Zone,Online,Fuel,Prime Mover,Butler PPC Category,AURORA Fuel Category,Net Capacity MW,Average Heat Rate Btu per kWh,Fixed OM Charge USD per kWyr,Variable O&M Charge USD per MWh,Minimum Stable Level frac,Maximum Ramp Rate frac per min,Minimum Down Time HRS,Minimum Up Time HRS,Start Cost USD per MWstart,Minimum Time to Repair HRS,Mean Time to Repair HRS,Maximum Time to Repair HRS,Forced Outage Rate percent,Source
Lost Pines 1,Bastrop,LCRA,2001,NG,CCGT,Conventional,NGERSOU,528.0,7650.59,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Magic Valley Station,Hidalgo,South,2001,NG,CCGT,Advanced,NGERSOU,670.2,7326.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Midlothian 1,Ellis,North,2001,NG,CCGT,Conventional,NGERNOR,940.0,8073.57,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Midlothian 2,Ellis,North,2002,NG,CCGT,Conventional,NGERNOR,504.0,7639.13,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Nueces Bay 8,Nueces,South,2010,NG,CCGT,Conventional,NGERSOU,633.0,8230.55,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Odessa Ector Generating Station 1,Ector,West,2001,NG,CCGT,Advanced,NGERWES,998.5,6826.16,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Panda Sherman,Grayson,North,2014,NG,CCGT,Advanced,NGERNOR,717.0,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Panda Temple 1,Bell,North,2014,NG,CCGT,Advanced,NGERNOR,702.0,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Panda Temple II CTG1,Bell,North,2015,NG,CCGT,Advanced,NGERNOR,191.2,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Panda Temple II CTG2,Bell,North,2015,NG,CCGT,Advanced,NGERNOR,191.2,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Panda Temple II STG,Bell,North,2015,NG,CCGT,Advanced,NGERNOR,334.7,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Paris Energy Center 1,Lamar,North,1990,NG,CCGT,Advanced,NGERNOR,239.0,7395.50,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Quail Run Energy 1,Ector,West,2008,NG,CCGT,Advanced,NG1ERWES,488.0,6500.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Rio Nogales 1,Guadalupe,South,2002,NG,CCGT,Conventional,NGERSOU,785.0,8050.07,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Sam Rayburn 10,Victoria,South,2003,NG,CCGT,Conventional,NGERSOU,190.0,7590.55,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Sand Hill Energy Center 5a,Travis,AEN,2004,NG,CCGT,Conventional,NGERSOU,295.0,8068.99,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Silas Ray 9,Cameron,South,1996,NG,CCGT,Conventional,NGERSOU,58.0,10075.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
T H Wharton 3,Harris,Houston,1974,NG,CCGT,Conventional,NG1ERHOU,332.0,9440.50,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
T H Wharton 4,Harris,Houston,1974,NG,CCGT,Conventional,NG1ERHOU,332.0,8922.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Tenaska Frontier Station,Grimes,Houston,2000,NG,CCGT,Advanced,NGERHOU,880.0,7307.17,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Tenaska Gateway Station,Rusk,North,2001,NG,CCGT,Advanced,NGERNOR,846.0,7200.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Tenaska Kiamichi Station 1,Fannin,North,2003,NG,CCGT,Advanced,NGERNOR,623.0,7344.89,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Tenaska Kiamichi Station 2,Fannin,North,2003,NG,CCGT,Advanced,NGERNOR,623.0,7344.89,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Victoria Power Station,Victoria,South,2009,NG,CCGT,Conventional,NGERSOU,285.0,8844.18,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Wise County Power LP,Wise,North,2004,NG,CCGT,Conventional,NGERNOR,665.0,7595.91,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Wolf Hollow Power Proj 1,Hood,North,2002,NG,CCGT,Conventional,NGERNOR,705.0,7910.53,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Baytown Energy Center,Chambers,Houston,2002,NG,CCGT-CHP,Conventional,NGERHOU,794.8,9347.13,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
C R Wing Cogen Plant,Howard,West,1988,NG,CCGT-CHP,Conventional,NG1ERWES,207.7,8033.71,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Channel Energy Center,Harris,Houston,2001,NG,CCGT-CHP,Conventional,NGERHOU,686.6,9227.66,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Channelview Cogen Plant,Harris,Houston,2008,NG,CCGT-CHP,Advanced,NGERHOU,861.0,6613.55,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Clear Lake Cogeneration Ltd,Harris,Houston,1985,NG,CCGT-CHP,Conventional,NGERHOU,384.9,8096.13,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Corpus Christi Energy Center,Nueces,South,2002,NG,CCGT-CHP,Advanced,NGERSOU,460.5,7263.42,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Deer Park Energy Center 1,Harris,Houston,2014,NG,CCGT-CHP,Advanced,NGERHOU,1152.0,6043.22,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Freeport Energy Center,Brazoria,Houston,2007,NG,CCGT-CHP,Conventional,NGERHOU,63.4,8017.05,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Green Power 2,Galveston,Houston,2009,NG,CCGT-CHP,Conventional,NG2ERHOU,287.2,12251.00,16.95,13.41,0.25,0.00420,6,14,34.6300,0,0,0,0,
Gregory Power Facility,San Patricio,South,2000,NG,CCGT-CHP,Advanced,NGERSOU,388.5,7261.76,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Houston Chemical Complex Battleground,Harris,Houston,2005,NG,CCGT-CHP,Conventional,NGERHOU,52.6,9500.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Ingleside Cogeneration,San Patricio,South,1999,NG,CCGT-CHP,Conventional,NGERSOU,478.4,8000.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Optim Energy Altura Cogen,Harris,Houston,1995,NG,CCGT-CHP,Conventional,NGERHOU,478.8,11783.03,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Oyster Creek Unit VIII,Brazoria,Houston,1994,NG,CCGT-CHP,Conventional,NGERHOU,404.5,10753.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Pasadena Cogeneration,Harris,Houston,2000,NG,CCGT-CHP,Conventional,NGERHOU,743.6,7554.25,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Texas City 1,Galveston,Houston,2000,NG,CCGT-CHP,Conventional,NGERHOU,458.5,14484.74,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Wichita Falls Cogeneration Plant,Wichita,West,1987,NG,CCGT-CHP,Advanced,NGERWES,78.0,7240.96,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,
Greenville Powerlane IC1,Hunt,North,2010,NG,IC,Advanced,NGERNOR,8.4,9832.86,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Greenville Powerlane IC2,Hunt,North,2010,NG,IC,Advanced,NGERNOR,8.4,9761.25,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Greenville Powerlane IC3,Hunt,North,2010,NG,IC,Advanced,NGERNOR,8.4,9828.47,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Pearsall IC Engine Plant A,Frio,South,2012,NG,IC,Advanced,NGERSOU,50.6,9784.10,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Pearsall IC Engine Plant B,Frio,South,2012,NG,IC,Advanced,NGERSOU,50.6,9789.15,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Pearsall IC Engine Plant C,Frio,South,2012,NG,IC,Advanced,NGERSOU,50.6,9794.21,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Pearsall IC Engine Plant D,Frio,South,2012,NG,IC,Advanced,NGERSOU,50.6,9787.71,25.28,4.73,0.20,0.25000,1,1,19.3680,0,0,0,0,CDR 12/15
Bryan Atkins 7,Brazos,North,1973,NG,OCGT,Conventional,NG2ERNOR,18.0,14451.37,16.95,13.41,0.25,0.20000,1,1,19.1743,0,0,0,0,CDR 12/15
Dansby 2,Brazos,North,2004,NG,OCGT,Conventional,NG2ERNOR,45.0,10584.32,16.95,13.41,0.24,0.44000,1,1,18.9806,0,0,0,0,CDR 12/15
Dansby 3,Brazos,North,2010,NG,OCGT,Advanced,NG2ERNOR,47.0,9469.91,16.95,13.41,0.24,0.44000,1,1,18.9806,0,0,0,0,CDR 12/15
Decker Creek G1,Travis,AEN,1989,NG,OCGT,Advanced,NG3ERSOU,48.0,9500.00,19.49,15.43,0.24,0.44000,1,1,20.0971,0,0,0,0,CDR 12/15
Decker Creek G2,Travis,AEN,1989,NG,OCGT,Advanced,NG3ERSOU,48.0,9500.00,19.49,15.43,0.24,0.44000,1,1,20.0971,0,0,0,0,CDR 12/15
Decker Creek G3,Travis,AEN,1989,NG,OCGT,Advanced,NG3ERSOU,48.0,9500.00,19.49,15.43,0.24,0.44000,1,1,20.0971,0,0,0,0,CDR 12/15
Decker Creek G4,Travis,AEN,1989,NG,OCGT,Advanced,NG3ERSOU,48.0,9500.00,19.49,15.43,0.24,0.44000,1,1,20.0971,0,0,0,0,CDR 12/15
DeCordova 1,Hood,North,1990,NG,OCGT,Advanced,NG2ERNOR,71.0,9850.00,16.95,13.41,0.25,0.14000,1,1,36.9557,0,0,0,0,CDR 12/15
DeCordova 2,Hood,North,1990,NG,OCGT,Advanced,NG3ERNOR,70.0,9850.00,19.49,15.43,0.25,0.14000,1,1,37.4517,0,0,0,0,CDR 12/15
DeCordova 3,Hood,North,1990,NG,OCGT,Advanced,NG3ERNOR,69.0,9850.00,19.49,15.43,0.25,0.14000,1,1,37.9613,0,0,0,0,CDR 12/15
DeCordova 4,Hood,North,1990,NG,OCGT,Advanced,NG3ERNOR,68.0,9850.00,19.49,15.43,0.25,0.14000,1,1,38.4849,0,0,0,0,CDR 12/15
Ector County Energy,Ector,West,2015,NG,OCGT,Advanced,NGERWES,294.0,9983.00,25.28,4.73,0.25,0.14000,1,1,35.0000,0,0,0,0,CDR 12/15
ExTex La Porte Power Station AirPro 1,Harris,Houston,2009,NG,OCGT,Advanced,NG2ERHOU,38.0,9250.00,16.95,13.41,0.24,0.44000,1,1,18.7520,0,0,0,0,CDR 12/15
ExTex La Porte Power Station AirPro 2,Harris,Houston,2009,NG,OCGT,Advanced,NG2ERHOU,38.0,9250.00,16.95,13.41,0.24,0.44000,1,1,18.7520,0,0,0,0,CDR 12/15
ExTex La Porte Power Station AirPro 3,Harris,Houston,2009,NG,OCGT,Advanced,NG2ERHOU,38.0,9250.00,16.95,13.41,0.24,0.44000,1,1,18.7520,0,0,0,0,CDR 12/15
ExTex La Porte Power Station AirPro 4,Harris,Houston,2009,NG,OCGT,Advanced,NG2ERHOU,38.0,9250.00,16.95,13.41,0.24,0.44000,1,1,18.7520,0,0,0,0,CDR 12/15
Greens Bayou 73,Harris,Houston,1976,NG,OCGT,Conventional,NG2ERHOU,46.0,10268.00,16.95,13.41,0.25,0.21000,1,1,20.7083,0,0,0,0,CDR 12/15
Greens Bayou 74,Harris,Houston,1976,NG,OCGT,Conventional,NG2ERHOU,46.0,10268.00,16.95,13.41,0.25,0.21000,1,1,20.7083,0,0,0,0,CDR 12/15
Greens Bayou 81,Harris,Houston,1976,NG,OCGT,Conventional,NG2ERHOU,46.0,10268.00,16.95,13.41,0.25,0.21000,1,1,20.7083,0,0,0,0,CDR 12/15
Greens Bayou 82,Harris,Houston,1976,NG,OCGT,Conventional,NG2ERHOU,58.0,10268.00,16.95,13.41,0.25,0.21000,1,1,20.4500,0,0,0,0,CDR 12/15
Greens Bayou 83,Harris,Houston,1976,NG,OCGT,Conventional,NG2ERHOU,56.0,10268.00,16.95,13.41,0.25,0.21000,1,1,20.4526,0,0,0,0,CDR 12/15
Greens Bayou 84,Harris,Houston,1976,NG,OCGT,Conventional,NG2ERHOU,46.0,10268.00,16.95,13.41,0.25,0.21000,1,1,21.1579,0,0,0,0,CDR 12/15
Laredo Peaking 4,Webb,South,2008,NG,OCGT,Conventional,NG1ERSOU,90.1,10056.00,25.28,4.73,0.50,0.21000,1,1,19.3680,0,0,0,0,CDR 12/15
Laredo Peaking 5,Webb,South,2008,NG,OCGT,Conventional,NG1ERSOU,87.3,10056.00,25.28,4.73,0.50,0.21000,1,1,20.0000,0,0,0,0,CDR 12/15
Leon Creek Peaking 1,Bexar,South,2004,NG,OCGT,Advanced,NG2ERSOU,46.0,9888.00,16.95,13.41,0.24,0.44000,1,1,19.3845,0,0,0,0,CDR 12/15
Leon Creek Peaking 2,Bexar,South,2004,NG,OCGT,Advanced,NG2ERSOU,46.0,9888.00,16.95,13.41,0.24,0.44000,1,1,19.3845,0,0,0,0,CDR 12/15
Leon Creek Peaking 3,Bexar,South,2004,NG,OCGT,Advanced,NG1ERSOU,46.0,9888.00,25.28,4.73,0.24,0.44000,1,1,19.3845,0,0,0,0,CDR 12/15
Leon Creek Peaking 4,Bexar,South,2004,NG,OCGT,Advanced,NG1ERSOU,46.0,9888.00,25.28,4.73,0.24,0.44000,1,1,19.3845,0,0,0,0,CDR 12/15
Morgan Creek 1,Mitchell,West,1988,NG,OCGT,Conventional,NG2ERWES,68.0,10173.00,16.95,13.41,0.25,0.14000,1,1,36.1142,0,0,0,0,CDR 12/15
Morgan Creek 2,Mitchell,West,1988,NG,OCGT,Conventional,NG2ERWES,68.0,10173.00,16.95,13.41,0.25,0.14000,1,1,36.1142,0,0,0,0,CDR 12/15
Morgan Creek 3,Mitchell,West,1988,NG,OCGT,Conventional,NG2ERWES,68.0,10173.00,16.95,13.41,0.25,0.14000,1,1,36.1142,0,0,0,0,CDR 12/15
Morgan Creek 4,Mitchell,West,1988,NG,OCGT,Conventional,NG2ERWES,68.0,10173.00,16.95,13.41,0.25,0.14000,1,1,36.1142,0,0,0,0,CDR 12/15
